Time,Open,High,Low,Latest,Change,%Change,Volume
30/09/2020,1.67,1.76,1.65,1.7,0.175,11.48%,2046812
1/10/2020,1.73,1.75,1.66,1.69,-0.01,-0.59%,804974
2/10/2020,1.705,1.705,1.52,1.54,-0.15,-8.88%,868308
5/10/2020,1.61,1.69,1.57,1.66,0.12,7.79%,429184
6/10/2020,1.67,1.68,1.65,1.665,0.005,0.30%,382316
7/10/2020,1.69,1.69,1.63,1.665,0,0.00%,178658
8/10/2020,1.67,1.96,1.665,1.9,0.235,14.11%,1685384
9/10/2020,1.95,2.44,1.945,2.38,0.48,25.26%,3611419
12/10/2020,2.43,2.98,2.42,2.55,0.17,7.14%,3669695
13/10/2020,2.66,2.7,2.23,2.33,-0.22,-8.63%,2317330
14/10/2020,2.35,2.61,2.27,2.61,0.28,12.02%,1170857
15/10/2020,2.6,2.85,2.54,2.72,0.11,4.21%,1842212
16/10/2020,2.73,2.76,2.54,2.6,-0.12,-4.41%,1021019
19/10/2020,2.63,2.63,2.4,2.47,-0.13,-5.00%,863786
20/10/2020,2.47,2.48,2.33,2.4,-0.07,-2.83%,595428
21/10/2020,2.47,2.47,2.32,2.34,-0.06,-2.50%,465357
22/10/2020,2.31,2.33,2.11,2.12,-0.22,-9.40%,1396589
23/10/2020,2.14,2.255,2.08,2.1,-0.02,-0.94%,1392285
26/10/2020,2.14,2.28,2.08,2.15,0.05,2.38%,778102
27/10/2020,2.13,2.2,2.11,2.16,0.01,0.47%,343735
28/10/2020,2.17,2.45,2.17,2.36,0.2,9.26%,628587
29/10/2020,2.2,2.37,2.15,2.35,-0.01,-0.42%,746037
30/10/2020,2.4,2.49,2.3,2.31,-0.04,-1.70%,392654
2/11/2020,2.34,2.34,2.18,2.2,-0.11,-4.76%,536382
3/11/2020,2.23,2.28,2.17,2.17,-0.03,-1.36%,398687
4/11/2020,2.21,2.33,2.21,2.28,0.11,5.07%,326655
5/11/2020,2.32,2.33,2.25,2.29,0.01,0.44%,393599
6/11/2020,2.35,2.39,2.26,2.3,0.01,0.44%,407825
9/11/2020,2.3,2.34,2.26,2.27,-0.03,-1.30%,222820
10/11/2020,2.32,2.44,2.05,2.15,-0.12,-5.29%,1076526
11/11/2020,2.14,2.16,2.07,2.1,-0.05,-2.33%,586133
